x,y,z
450,367,a
450,367,a
452,365,a
453,365,a
454,365,a
454,364,a
455,364,a
456,364,a
457,363,a
457,363,a
460,362,a
460,362,a
461,362,a
461,361,a
462,361,a
463,361,a
463,361,a
464,360,a
465,360,a
465,360,a
466,359,a
466,359,a
467,358,a
468,358,a
468,358,a
469,357,a
470,357,a
470,357,a
470,357,a
471,357,a
471,356,a
472,356,a
472,356,a
473,355,a
473,355,a
474,354,a
474,354,a
475,354,a
475,354,a
476,353,a
476,353,a
477,353,a
477,352,a
478,352,a
478,352,a
479,351,a
479,351,a
480,350,a
480,350,a
481,349,a
482,349,a
482,348,a
483,348,a
483,348,a
483,348,a
484,347,a
484,347,a
485,346,a
485,346,a
485,346,a
486,345,a
486,344,a
487,344,a
487,344,a
488,343,a
488,342,a
489,342,a
489,341,a
489,341,a
490,341,a
490,341,a
490,340,a
490,340,a
491,339,a
491,339,a
492,339,a
492,338,a
492,338,a
492,338,a
493,338,a
493,338,a
493,338,a
493,338,a
494,338,a
494,338,a
494,338,a
494,339,a
495,339,a
495,339,a
496,339,a
496,339,a
496,339,a
496,340,a
497,340,a
497,340,a
497,340,a
498,340,a
499,340,a
499,341,a
500,341,a
500,341,a
500,341,a
501,341,a
501,341,a
501,341,a
502,342,a
503,342,a
503,342,a
503,342,a
503,342,a
504,342,a
504,343,a
505,343,a
505,343,a
505,343,a
506,343,a
506,343,a
506,344,a
507,344,a
507,344,a
508,344,a
508,344,a
508,344,a
509,344,a
509,344,a
510,344,a
510,344,a
511,344,a
511,345,a
512,345,a
512,345,a
512,345,a
513,345,a
514,345,a
514,345,a
514,345,a
515,345,a
515,345,a
516,345,a
517,345,a
517,345,a
518,345,a
518,345,a
519,345,a
520,345,a
521,345,a
521,345,a
522,345,a
522,345,a
523,345,a
524,345,a
524,345,a
525,345,a
526,345,a
527,345,a
527,345,a
528,345,a
528,345,a
529,345,a
529,345,a
530,345,a
530,345,a
531,345,a
532,345,a
532,345,a
533,345,a
533,345,a
534,345,a
535,345,a
535,345,a
536,345,a
536,345,a
537,345,a
537,345,a
538,345,a
539,345,a
540,345,a
541,345,a
541,345,a
541,345,a
543,345,a
543,345,a
544,344,a
544,344,a
546,344,a
547,344,a
548,344,a
549,344,a
549,344,a
550,344,a
550,344,a
552,344,a
552,344,a
553,344,a
554,344,a
554,344,a
555,344,a
556,344,a
556,344,a
557,344,a
558,344,a
558,344,a
559,344,a
561,344,a
563,344,a
564,344,a
566,344,a
566,344,a
567,344,a
568,344,a
570,344,a
571,344,a
572,344,a
572,344,a
574,344,a
574,344,a
575,344,a
576,344,a
577,344,a
577,344,a
578,344,a
579,344,a
580,344,a
581,344,a
582,344,a
582,344,a
583,344,a
584,344,a
585,344,a
585,344,a
586,344,a
586,344,a
588,344,a
590,344,a
591,344,a
593,344,a
595,344,a
596,344,a
596,344,a
598,344,a
599,344,a
600,345,a
600,345,a
601,345,a
602,345,a
603,345,a
603,345,a
604,345,a
604,345,a
605,345,a
605,345,a
606,345,a
606,345,a
607,345,a
608,345,a
609,346,a
609,346,a
610,346,a
611,346,a
612,346,a
612,346,a
614,346,a
615,346,a
616,346,a
618,346,a
619,347,a
620,347,a
622,347,a
623,347,a
624,347,a
624,347,a
626,347,a
627,347,a
628,347,a
628,347,a
629,347,a
630,348,a
631,348,a
631,348,a
632,348,a
632,348,a
633,348,a
634,348,a
634,348,a
635,348,a
635,348,a
636,348,a
637,349,a
638,349,a
638,349,a
639,349,a
639,349,a
647,349,a
647,349,a
649,349,a
649,350,a
649,350,a
650,350,a
650,350,a
651,350,a
651,350,a
652,350,a
653,350,a
653,351,a
654,351,a
654,351,a
655,351,a
656,351,a
656,351,a
657,351,a
657,351,a
658,351,a
658,351,a
658,351,a
660,352,a
660,352,a
660,352,a
661,352,a
661,352,a
662,352,a
663,352,a
663,352,a
664,353,a
665,353,a
665,353,a
666,354,a
666,354,a
667,354,a
667,354,a
668,354,a
668,354,a
669,354,a
669,354,a
670,354,a
670,354,a
671,354,a
671,354,a
671,354,a
672,354,a
672,354,a
673,354,a
674,354,a
674,354,a
674,354,a
675,354,a
675,354,a
676,354,a
676,354,a
676,354,a
677,354,a
677,354,a
677,355,a
678,355,a
678,355,a
679,355,a
679,355,a
679,355,a
680,355,a
681,355,a
682,355,a
683,355,a
683,355,a
683,354,a
683,354,a
683,354,a
683,353,a
684,353,a
684,353,a
684,352,a
684,351,a
685,351,a
685,351,a
685,350,a
685,350,a
685,350,a
685,349,a
685,349,a
685,348,a
685,348,a
685,347,a
685,347,a
684,346,a
684,346,a
684,344,a
684,344,a
683,343,a
683,343,a
683,342,a
683,342,a
683,341,a
683,340,a
683,340,a
683,339,a
683,339,a
682,339,a
682,338,a
682,338,a
682,337,a
682,336,a
682,336,a
682,336,a
682,335,a
682,335,a
682,334,a
681,334,a
681,333,a
681,332,a
681,332,a
680,331,a
680,330,a
680,330,a
679,329,a
679,328,a
679,328,a
678,327,a
678,326,a
677,324,a
677,324,a
676,323,a
676,322,a
676,322,a
675,321,a
675,321,a
674,320,a
674,319,a
674,318,a
673,316,a
672,315,a
671,313,a
670,312,a
669,310,a
669,309,a
668,308,a
668,308,a
668,307,a
667,305,a
666,305,a
665,302,a
664,302,a
664,301,a
664,300,a
663,299,a
662,298,a
661,296,a
660,296,a
656,289,a
655,289,a
654,288,a
654,288,a
654,287,a
653,286,a
653,285,a
652,285,a
652,284,a
652,284,a
650,283,a
650,283,a
650,282,a
649,282,a
649,281,a
648,280,a
647,280,a
645,278,a
644,278,a
644,277,a
643,276,a
643,276,a
642,275,a
642,275,a
641,275,a
640,274,a
640,274,a
639,273,a
639,272,a
638,272,a
638,272,a
637,271,a
636,271,a
636,270,a
635,270,a
635,269,a
634,269,a
632,267,a
631,267,a
630,266,a
630,266,a
628,264,a
627,264,a
624,262,a
624,261,a
623,261,a
622,260,a
621,259,a
620,259,a
619,258,a
619,258,a
618,257,a
618,257,a
617,256,a
616,256,a
616,255,a
615,255,a
614,254,a
614,254,a
613,254,a
612,253,a
612,253,a
611,253,a
611,252,a
610,252,a
609,252,a
607,251,a
607,250,a
604,249,a
604,249,a
603,248,a
602,248,a
601,248,a
601,247,a
601,247,a
600,247,a
599,247,a
598,246,a
598,246,a
597,245,a
596,245,a
595,244,a
594,244,a
593,243,a
592,243,a
590,242,a
590,241,a
589,241,a
588,241,a
587,240,a
587,240,a
586,240,a
586,239,a
586,239,a
585,239,a
584,239,a
584,239,a
583,238,a
583,238,a
582,238,a
581,238,a
580,237,a
578,237,a
577,236,a
576,236,a
573,234,a
572,234,a
570,233,a
570,233,a
567,232,a
567,232,a
566,232,a
565,231,a
565,231,a
564,231,a
563,231,a
562,230,a
562,230,a
561,230,a
560,230,a
559,229,a
559,229,a
558,229,a
557,229,a
557,229,a
556,229,a
556,228,a
555,228,a
554,228,a
554,228,a
553,228,a
552,228,a
551,227,a
550,227,a
549,227,a
549,227,a
547,226,a
547,226,a
546,226,a
546,226,a
545,225,a
544,225,a
543,225,a
543,225,a
542,225,a
542,225,a
542,225,a
541,224,a
541,224,a
540,224,a
539,224,a
539,224,a
538,224,a
537,223,a
537,223,a
535,223,a
535,223,a
533,222,a
532,222,a
530,222,a
529,222,a
529,222,a
528,222,a
527,221,a
527,221,a
526,221,a
526,221,a
525,221,a
525,221,a
524,220,a
524,220,a
523,220,a
523,220,a
523,220,a
522,220,a
521,220,a
521,219,a
520,219,a
520,219,a
519,219,a
518,219,a
517,218,a
517,218,a
517,218,a
516,218,a
516,218,a
515,218,a
515,218,a
515,218,a
514,218,a
513,217,a
513,217,a
512,217,a
512,217,a
512,216,a
511,216,a
511,216,a
511,216,a
510,216,a
510,216,a
509,216,a
509,216,a
508,215,a
508,215,a
507,215,a
507,215,a
506,215,a
505,215,a
505,215,a
504,214,a
504,214,a
503,214,a
503,214,a
503,214,a
502,214,a
502,214,a
501,214,a
501,214,a
500,214,a
500,214,a
500,214,a
500,214,a
499,214,a
499,214,a
499,214,a
498,214,a
498,214,a
497,214,a
497,214,a
497,214,a
496,214,a
496,214,a
496,214,a
496,214,a
496,214,a
497,214,a
497,214,a
498,214,a
499,214,a
499,214,a
499,214,a
500,214,a
500,214,a
501,214,a
502,214,a
502,214,a
502,214,a
503,214,a
503,214,a
504,214,a
504,214,a
504,214,a
504,214,a
505,214,a
505,213,a
506,213,a
506,213,a
506,213,a
507,212,a
507,212,a
507,212,a
508,212,a
508,211,a
508,211,a
509,211,a
509,210,a
510,210,a
510,209,a
510,209,a
510,208,a
510,208,a
510,207,a
510,207,a
510,206,a
510,206,a
510,206,a
510,205,a
511,205,a
511,204,a
511,204,a
511,203,a
511,203,a
511,202,a
511,202,a
511,201,a
511,201,a
511,200,a
511,200,a
511,199,a
511,199,a
511,198,a
511,198,a
511,197,a
511,196,a
511,196,a
511,195,a
511,195,a
511,194,a
511,194,a
511,192,a
511,192,a
511,191,a
511,190,a
511,189,a
511,189,a
511,188,a
511,187,a
511,187,a
511,186,a
511,186,a
511,185,a
511,184,a
511,184,a
511,183,a
511,183,a
511,182,a
511,182,a
511,182,a
510,181,a
510,180,a
510,180,a
510,179,a
510,178,a
510,178,a
510,178,a
510,177,a
510,176,a
510,176,a
509,176,a
509,175,a
509,175,a
509,174,a
509,174,a
509,173,a
509,172,a
509,172,a
509,172,a
508,171,a
508,171,a
508,170,a
508,170,a
507,170,a
507,169,a
507,169,a
507,168,a
507,168,a
507,168,a
507,167,a
506,167,a
506,167,a
506,167,a
506,166,a
506,166,a
506,166,a
505,165,a
505,165,a
505,165,a
505,165,a
505,164,a
504,164,a
504,164,a
503,164,a
503,163,a
503,163,a
502,163,a
502,163,a
502,163,a
501,163,a
501,163,a
500,162,a
499,162,a
499,162,a
498,162,a
496,161,a
496,161,a
495,161,a
494,161,a
494,160,a
493,160,a
492,160,a
492,160,a
491,160,a
491,160,a
491,160,a
490,160,a
490,160,a
489,159,a
488,159,a
488,159,a
488,159,a
487,159,a
487,159,a
487,159,a
486,159,a
486,159,a
484,159,a
484,158,a
483,158,a
482,158,a
481,158,a
480,158,a
479,158,a
479,158,a
477,157,a
476,157,a
474,157,a
472,157,a
471,157,a
471,156,a
470,156,a
469,156,a
468,156,a
468,156,a
467,156,a
466,156,a
464,155,a
461,155,a
456,154,a
453,154,a
451,154,a
449,154,a
448,154,a
448,154,a
447,154,a
447,154,a
446,154,a
446,154,a
445,154,a
444,154,a
444,154,a
443,154,a
443,154,a
442,154,a
442,154,a
442,154,a
441,154,a
440,154,a
440,154,a
439,154,a
439,154,a
438,154,a
438,154,a
437,154,a
435,154,a
435,154,a
434,154,a
433,154,a
432,154,a
432,154,a
430,154,a
429,154,a
428,154,a
427,154,a
427,154,a
424,154,a
424,154,a
421,154,a
420,154,a
419,154,a
418,154,a
417,154,a
417,154,a
416,154,a
415,154,a
414,154,a
414,154,a
411,154,a
411,154,a
410,154,a
409,154,a
408,154,a
408,154,a
407,154,a
407,154,a
406,154,a
406,154,a
406,154,a
404,154,a
404,154,a
403,154,a
403,155,a
402,155,a
401,155,a
401,155,a
400,156,a
400,156,a
400,156,a
399,156,a
399,156,a
398,157,a
398,157,a
397,157,a
397,157,a
396,157,a
395,157,a
394,158,a
394,158,a
393,158,a
393,158,a
392,159,a
392,159,a
392,159,a
391,159,a
391,160,a
391,160,a
391,160,a
390,161,a
390,161,a
390,161,a
390,162,a
390,162,a
390,163,a
389,163,a
389,163,a
389,164,a
389,164,a
389,164,a
389,165,a
388,165,a
388,165,a
388,166,a
388,167,a
388,167,a
388,167,a
388,168,a
388,168,a
388,169,a
389,169,a
389,169,a
389,170,a
389,170,a
389,170,a
389,171,a
389,171,a
389,171,a
389,172,a
389,172,a
389,172,a
389,173,a
389,173,a
389,174,a
389,174,a
389,174,a
390,175,a
390,175,a
390,175,a
390,176,a
390,177,a
390,177,a
390,177,a
391,178,a
391,178,a
391,179,a
391,179,a
391,180,a
391,181,a
391,181,a
391,181,a
391,182,a
391,182,a
391,183,a
391,183,a
391,184,a
391,185,a
391,185,a
391,185,a
391,186,a
391,186,a
391,186,a
391,187,a
391,188,a
391,188,a
391,188,a
391,189,a
391,189,a
391,190,a
391,190,a
391,190,a
391,191,a
391,191,a
390,191,a
390,192,a
390,192,a
390,192,a
390,193,a
390,193,a
390,193,a
390,193,a
390,194,a
390,194,a
390,195,a
390,195,a
390,196,a
390,196,a
390,196,a
390,197,a
390,197,a
390,197,a
389,198,a
389,198,a
389,199,a
389,199,a
389,200,a
389,200,a
389,200,a
389,201,a
388,201,a
388,201,a
388,202,a
388,203,a
387,203,a
387,203,a
387,204,a
387,204,a
386,205,a
386,206,a
386,206,a
386,207,a
386,207,a
385,208,a
385,209,a
385,209,a
384,210,a
384,211,a
384,211,a
383,213,a
383,214,a
383,214,a
383,215,a
383,216,a
383,216,a
383,217,a
383,217,a
383,218,a
383,218,a
383,219,a
383,219,a
383,220,a
383,220,a
383,220,a
383,221,a
383,221,a
383,222,a
383,223,a
383,223,a
383,224,a
383,224,a
383,225,a
383,225,a
383,226,a
383,227,a
383,227,a
383,228,a
383,228,a
383,229,a
382,229,a
382,230,a
382,231,a
382,231,a
381,232,a
381,232,a
381,233,a
381,233,a
380,234,a
380,234,a
380,234,a
380,234,a
379,234,a
379,235,a
378,235,a
378,235,a
378,235,a
377,235,a
377,235,a
377,235,a
376,235,a
376,235,a
376,235,a
375,235,a
374,235,a
374,235,a
373,235,a
373,235,a
372,235,a
372,235,a
371,235,a
371,235,a
370,235,a
370,235,a
370,235,a
369,235,a
369,235,a
369,235,a
368,235,a
368,235,a
368,235,a
367,235,a
367,235,a
366,235,a
366,235,a
365,235,a
365,235,a
364,235,a
364,235,a
364,235,a
363,235,a
362,235,a
362,235,a
362,235,a
361,235,a
361,234,a
361,234,a
360,234,a
360,234,a
360,234,a
360,234,a
359,234,a
359,234,a
358,234,a
358,233,a
358,233,a
357,233,a
357,233,a
356,233,a
356,232,a
355,232,a
354,232,a
354,232,a
353,232,a
353,232,a
353,232,a
352,232,a
352,231,a
351,231,a
350,231,a
350,231,a
350,231,a
349,231,a
349,231,a
349,231,a
348,231,a
348,230,a
347,230,a
346,230,a
346,230,a
343,229,a
343,229,a
342,229,a
341,229,a
341,228,a
340,228,a
339,228,a
338,228,a
338,227,a
337,227,a
336,227,a
336,227,a
335,227,a
334,227,a
334,227,a
333,226,a
333,226,a
332,226,a
331,226,a
331,226,a
330,226,a
330,225,a
329,225,a
328,225,a
323,224,a
323,224,a
322,223,a
321,223,a
320,223,a
319,223,a
318,223,a
318,222,a
317,222,a
316,222,a
316,222,a
315,222,a
315,222,a
313,222,a
313,222,a
312,221,a
311,221,a
310,221,a
310,221,a
308,220,a
308,220,a
303,219,a
303,219,a
301,219,a
301,219,a
300,219,a
299,218,a
299,218,a
298,218,a
296,217,a
295,217,a
292,217,a
292,217,a
290,216,a
289,216,a
287,216,a
286,216,a
285,215,a
285,215,a
284,215,a
283,215,a
283,215,a
282,215,a
281,215,a
279,215,a
278,215,a
278,215,a
276,215,a
271,214,a
271,214,a
270,214,a
269,214,a
268,214,a
268,214,a
267,214,a
265,214,a
265,214,a
264,214,a
264,214,a
264,214,a
263,214,a
263,214,a
262,214,a
261,214,a
260,214,a
260,214,a
260,214,a
259,214,a
259,215,a
258,215,a
258,215,a
257,215,a
257,215,a
256,215,a
256,215,a
255,215,a
255,215,a
254,215,a
253,215,a
253,215,a
253,215,a
252,215,a
252,215,a
252,216,a
251,216,a
251,216,a
251,216,a
250,216,a
249,216,a
249,216,a
248,216,a
248,216,a
248,216,a
247,216,a
247,216,a
246,216,a
245,216,a
245,216,a
244,216,a
244,216,a
243,216,a
243,216,a
242,216,a
242,216,a
241,216,a
241,216,a
241,216,a
240,216,a
240,216,a
240,216,a
240,216,a
240,217,a
239,217,a
239,217,a
239,217,a
239,218,a
239,218,a
238,218,a
238,218,a
237,218,a
236,218,a
236,218,a
235,217,a
235,217,a
234,217,a
234,217,a
233,217,a
233,217,a
232,217,a
232,217,a
231,217,a
231,216,a
230,216,a
230,216,a
228,216,a
228,216,a
228,216,a
227,216,a
227,216,a
226,216,a
225,216,a
224,216,a
224,216,a
223,216,a
222,216,a
221,216,a
221,216,a
220,215,a
219,215,a
217,215,a
216,215,a
213,215,a
213,215,a
208,215,a
203,215,a
201,215,a
197,215,a
194,215,a
193,215,a
191,215,a
191,215,a
189,215,a
188,215,a
186,215,a
186,215,a
184,215,a
184,215,a
183,214,a
183,214,a
182,214,a
182,214,a
180,214,a
180,214,a
179,214,a
179,214,a
178,214,a
178,214,a
177,214,a
176,214,a
176,214,a
175,214,a
175,214,a
173,214,a
173,214,a
172,214,a
170,214,a
168,214,a
167,214,a
165,214,a
164,214,a
163,214,a
162,214,a
160,215,a
159,215,a
158,215,a
157,215,a
157,215,a
154,216,a
154,216,a
153,216,a
153,216,a
151,217,a
151,217,a
149,217,a
148,218,a
147,218,a
147,218,a
146,218,a
146,218,a
145,219,a
145,219,a
144,219,a
144,219,a
143,220,a
142,220,a
142,220,a
142,221,a
141,221,a
140,221,a
140,221,a
140,221,a
139,221,a
139,222,a
138,222,a
138,223,a
137,223,a
136,223,a
136,223,a
135,224,a
135,224,a
134,225,a
133,225,a
132,225,a
132,225,a
132,226,a
131,226,a
130,227,a
130,227,a
129,228,a
128,228,a
127,228,a
126,229,a
125,229,a
124,230,a
124,230,a
123,230,a
123,230,a
122,230,a
122,231,a
121,231,a
120,231,a
120,231,a
119,232,a
118,232,a
117,232,a
117,233,a
116,233,a
114,234,a
114,234,a
113,234,a
112,234,a
111,235,a
111,235,a
109,236,a
108,236,a
106,237,a
106,237,a
105,238,a
104,238,a
103,238,a
103,238,a
102,239,a
101,239,a
100,240,a
100,240,a
98,240,a
98,241,a
97,241,a
96,241,a
94,242,a
93,243,a
92,243,a
91,244,a
89,245,a
89,245,a
88,245,a
87,245,a
86,246,a
86,246,a
85,246,a
84,247,a
84,247,a
83,248,a
83,248,a
82,248,a
81,249,a
80,249,a
80,250,a
78,250,a
78,250,a
77,251,a
77,251,a
76,252,a
76,252,a
74,253,a
74,253,a
73,254,a
73,254,a
72,255,a
71,256,a
70,256,a
69,257,a
68,258,a
68,258,a
67,259,a
67,259,a
66,260,a
66,260,a
65,261,a
64,262,a
64,262,a
63,263,a
62,264,a
62,264,a
61,265,a
61,265,a
60,266,a
60,266,a
59,267,a
59,267,a
58,269,a
57,269,a
57,270,a
56,270,a
55,271,a
55,272,a
54,272,a
54,272,a
53,273,a
53,274,a
52,274,a
52,274,a
51,275,a
51,275,a
50,276,a
50,276,a
50,276,a
50,277,a
49,277,a
49,277,a
49,277,a
48,277,a
48,278,a
48,278,a
47,278,a
47,278,a
46,279,a
46,279,a
46,279,a
45,279,a
45,280,a
45,280,a
44,281,a
44,281,a
44,281,a
43,281,a
42,282,a
42,282,a
42,282,a
41,283,a
41,283,a
41,283,a
41,283,a
40,284,a
40,285,a
39,285,a
38,285,a
38,286,a
37,286,a
37,287,a
37,287,a
36,287,a
36,288,a
36,288,a
34,289,a
34,290,a
34,290,a
33,290,a
33,291,a
33,291,a
32,292,a
32,292,a
32,293,a
31,293,a
30,294,a
30,294,a
30,295,a
30,295,a
29,296,a
29,296,a
29,297,a
28,297,a
28,298,a
28,298,a
28,299,a
28,299,a
28,300,a
27,300,a
27,301,a
27,301,a
27,301,a
26,302,a
26,303,a
26,303,a
26,303,a
26,304,a
26,304,a
25,306,a
25,306,a
25,307,a
25,307,a
25,308,a
25,308,a
24,310,a
24,310,a
24,311,a
24,311,a
23,313,a
23,313,a
23,314,a
23,315,a
22,315,a
22,315,a
22,316,a
22,317,a
22,317,a
22,317,a
21,318,a
21,318,a
21,318,a
21,319,a
21,320,a
21,320,a
20,321,a
20,322,a
20,322,a
20,322,a
20,323,a
20,323,a
20,324,a
20,324,a
20,324,a
20,324,a
19,325,a
19,325,a
19,325,a
19,326,a
19,326,a
19,326,a
20,326,a
20,326,a
20,327,a
20,327,a
21,327,a
21,327,a
22,328,a
22,328,a
22,328,a
23,328,a
23,328,a
24,328,a
24,328,a
24,328,a
24,328,a
25,329,a
25,329,a
25,329,a
26,329,a
26,329,a
27,329,a
27,329,a
27,329,a
27,329,a
28,329,a
28,329,a
28,329,a
29,329,a
29,329,a
30,329,a
31,330,a
32,330,a
33,330,a
33,330,a
34,330,a
34,330,a
35,330,a
35,330,a
35,330,a
36,330,a
37,330,a
37,330,a
38,330,a
38,330,a
39,330,a
39,330,a
39,329,a
40,329,a
41,329,a
42,329,a
42,329,a
43,329,a
44,329,a
45,329,a
45,329,a
46,329,a
47,328,a
47,328,a
48,328,a
49,328,a
49,328,a
50,328,a
50,328,a
51,328,a
51,328,a
52,328,a
53,328,a
53,327,a
54,327,a
54,327,a
55,327,a
55,327,a
56,327,a
57,327,a
58,327,a
58,327,a
59,327,a
59,327,a
60,327,a
60,326,a
60,326,a
61,326,a
61,326,a
62,326,a
63,326,a
64,326,a
64,326,a
65,326,a
65,326,a
66,326,a
66,326,a
67,326,a
67,326,a
67,326,a
68,326,a
69,326,a
69,326,a
69,326,a
70,326,a
73,326,a
73,325,a
73,325,a
74,325,a
74,325,a
74,325,a
75,325,a
75,325,a
76,325,a
77,325,a
78,325,a
78,325,a
78,325,a
79,324,a
79,324,a
79,324,a
80,324,a
81,324,a
81,324,a
82,324,a
82,324,a
82,324,a
83,324,a
83,323,a
84,323,a
84,323,a
85,323,a
85,323,a
86,323,a
86,323,a
88,323,a
88,323,a
89,323,a
90,322,a
91,322,a
91,322,a
91,322,a
93,322,a
94,322,a
94,322,a
95,322,a
96,322,a
97,322,a
97,322,a
98,322,a
99,322,a
104,322,a
109,322,a
109,322,a
110,322,a
115,323,a
116,324,a
117,324,a
118,324,a
118,324,a
118,324,a
118,324,a
119,324,a
119,324,a
119,324,a
120,324,a
121,324,a
122,325,a
122,325,a
123,325,a
123,325,a
124,325,a
124,325,a
125,325,a
127,326,a
127,326,a
128,326,a
128,327,a
129,327,a
129,327,a
130,327,a
131,327,a
131,327,a
132,327,a
132,327,a
133,328,a
134,328,a
134,328,a
135,328,a
135,328,a
136,328,a
136,328,a
137,329,a
137,329,a
139,329,a
139,330,a
140,330,a
140,330,a
141,330,a
141,330,a
143,331,a
144,331,a
145,331,a
145,331,a
146,331,a
146,331,a
148,332,a
148,332,a
149,332,a
149,332,a
150,332,a
150,332,a
155,334,a
156,334,a
158,334,a
158,334,a
161,335,a
161,335,a
162,335,a
162,335,a
163,336,a
163,336,a
164,336,a
164,336,a
166,337,a
167,337,a
168,337,a
169,337,a
170,337,a
171,337,a
172,337,a
172,338,a
174,338,a
175,338,a
175,338,a
176,338,a
177,338,a
179,339,a
180,339,a
182,339,a
183,339,a
184,339,a
184,339,a
185,339,a
185,339,a
188,339,a
188,339,a
189,339,a
189,339,a
190,340,a
191,340,a
191,340,a
192,340,a
193,340,a
193,340,a
194,340,a
194,340,a
195,340,a
196,340,a
197,340,a
197,340,a
197,340,a
198,340,a
198,340,a
199,341,a
201,341,a
201,341,a
202,341,a
202,341,a
203,341,a
204,341,a
205,341,a
205,341,a
205,341,a
206,341,a
208,341,a
208,341,a
209,341,a
209,341,a
211,341,a
211,341,a
212,341,a
212,341,a
213,341,a
213,341,a
214,341,a
215,341,a
215,341,a
216,341,a
216,341,a
217,341,a
218,341,a
218,341,a
219,341,a
220,341,a
221,341,a
222,341,a
223,341,a
223,341,a
224,341,a
226,341,a
227,341,a
229,341,a
229,341,a
230,341,a
231,341,a
232,341,a
232,341,a
233,341,a
234,341,a
234,341,a
235,340,a
235,340,a
236,340,a
237,340,a
238,340,a
238,339,a
239,339,a
239,339,a
240,339,a
240,339,a
241,339,a
241,339,a
241,339,a
234,215,a
234,212,a
232,209,a
232,208,a
232,205,a
232,203,a
231,199,a
230,196,a
230,194,a
230,194,a
230,192,a
230,188,a
230,185,a
230,179,a
230,177,a
230,175,a
231,173,a
231,171,a
231,170,a
231,169,a
231,168,a
231,167,a
232,167,a
232,166,a
233,165,a
234,163,a
235,162,a
237,161,a
239,159,a
242,158,a
247,157,a
251,156,a
255,155,a
259,154,a
262,154,a
266,154,a
269,154,a
272,153,a
275,153,a
282,152,a
289,151,a
295,151,a
300,150,a
305,150,a
309,149,a
313,149,a
317,149,a
319,149,a
323,148,a
327,148,a
333,149,a
336,149,a
340,149,a
344,150,a
348,150,a
350,150,a
353,150,a
357,151,a
359,151,a
362,151,a
364,151,a
366,152,a
369,152,a
372,152,a
374,153,a
376,154,a
379,156,a
380,156,a
381,157,a
382,159,a
383,160,a
383,161,a
384,163,a
384,164,a
385,166,a
387,168,a
387,169,a
388,212,a
388,213,a
390,215,a
392,217,a
393,217,a
395,218,a
399,218,a
403,219,a
406,219,a
409,219,a
413,219,a
417,219,a
422,219,a
430,220,a
436,220,a
443,220,a
459,221,a
462,221,a
466,222,a
468,222,a
470,222,a
473,222,a
475,221,a
478,220,a
481,220,a
483,219,a
484,219,a
487,218,a
489,218,a
490,217,a
493,217,a
495,216,a
498,216,a
499,216,a
500,216,a
446,220,a
450,220,a
452,220,a
454,220,a
456,220,a
459,220,a
460,220,a
33,313,a
36,314,a
38,314,a
41,315,a
43,315,a
45,315,a
46,316,a
47,316,a
49,316,a
51,316,a
54,317,a
57,317,a
61,317,a
64,317,a
66,317,a
69,316,a
72,316,a
75,314,a
77,314,a
78,314,a
79,314,a
80,314,a
81,313,a
84,313,a
86,313,a
89,312,a
92,312,a
94,312,a
97,312,a
100,312,a
104,311,a
106,311,a
